Type,Date,Time,Location,City,County,Zip,Geocode
NFS,04/10/2013,2146,Colebrooke & 28th Ave,Temple Hills,Prince George's,20748,"Colebrooke &amp; 28th Ave
Temple Hills 20748
(38.8172686690005, -76.94323998899966)"
NFS,11/09/2013,121,3900 Bexley Pl,Temple Hills,Prince George's,20748,"3900 Bexley Pl
Temple Hills 20748
(38.8172686690005, -76.94323998899966)"
NFS,11/09/2013,121,3900 Bexley Pl,Temple Hills,Prince George's,20748,"3900 Bexley Pl
Temple Hills 20748
(38.8172686690005, -76.94323998899966)"
NFS,08/29/2013,1330,2900 St Clair Dr,Temple Hills,Prince George's,20748,"2900 St Clair Dr
Temple Hills 20748
(38.83534221400049, -76.94589651999968)"
NFS,08/10/2013,200,5102 Abbott Dr,Temple Hills,Prince George's,20748,"5102 Abbott Dr
Temple Hills 20748
(38.81874565400045, -76.96406678899967)"
NFS,12/13/2013,2310,3200 blk Brinkley Rd,Temple Hills,Prince George's,20748,"3200 blk Brinkley Rd
Temple Hills 20748
(38.8172686690005, -76.94323998899966)"
NFS,01/24/2013,149,3138 Brinkley Rd.,Temple Hills,Prince George's,20748,"3138 Brinkley Rd.
Temple Hills 20748
(38.80413336000049, -76.95283534399965)"
NFS,03/23/2013,6,"2530 Iverson St.,",Temple Hills,Prince George's,20748,"2530 Iverson St.,
Temple Hills 20748
(38.8360056840005, -76.95428276399963)"
NFS,12/31/2013,1536,2413 Colebrooke Dr,Temple Hills,Prince George's,20748,"2413 Colebrooke Dr
Temple Hills 20748
(38.835763590000454, -76.95643227099964)"
NFS,08/22/2013,1850,4100 block of Bracnh Ave,Temple Hills,Prince George's,20748,"4100 block of Bracnh Ave
Temple Hills 20748
(38.8172686690005, -76.94323998899966)"
NFS,08/13/2013,1936,5909 Temple Hills Rd,Temple Hills,Prince George's,20748,"5909 Temple Hills Rd
Temple Hills 20748
(38.802558399000475, -76.93110115799965)"
NFS,01/28/2013,1907,4107 Branch Ave.,Temple Hills,Prince George's,20748,"4107 Branch Ave.
Temple Hills 20748
(38.83417831300045, -76.94258849099964)"
NFS,02/20/2013,2359,11610 Citrine Ct,Glendale,Prince George's,20769,"11610 Citrine Ct
Glendale 20769
(38.95854285100046, -76.80436895499963)"
NFS,02/20/2013,2359,11610 Citrine Ct,Glendale,Prince George's,20769,"11610 Citrine Ct
Glendale 20769
(38.95854285100046, -76.80436895499963)"
NFS,08/25/2013,300,16111 Brookmeade Ct,Upper Marlboro,Prince George's,20772,"16111 Brookmeade Ct
Upper Marlboro 20772
(38.841983721000474, -76.72413175499963)"
